hash_replica_retrain_VanillaNerf/log_ngp.txt:1:[INFO] Trainer: ngp | 2023-12-05_06-51-22 | cuda | fp16 | hash_replica_retrain_VanillaNerf
map/stone_nerf/log_ngp.txt:574:[INFO] Trainer: ngp | 2022-08-17_19-04-48 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:584:[INFO] Trainer: ngp | 2022-08-17_19-05-51 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:594:[INFO] Trainer: ngp | 2022-08-17_19-10-07 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:604:[INFO] Trainer: ngp | 2022-08-17_19-11-58 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:614:[INFO] Trainer: ngp | 2022-08-17_19-13-24 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:624:[INFO] Trainer: ngp | 2022-08-17_19-16-31 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:634:[INFO] Trainer: ngp | 2022-08-17_19-18-54 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:644:[INFO] Trainer: ngp | 2022-08-17_19-24-07 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:654:[INFO] Trainer: ngp | 2022-08-17_19-25-22 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:664:[INFO] Trainer: ngp | 2022-08-17_19-27-58 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:674:[INFO] Trainer: ngp | 2022-08-17_19-29-41 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:684:[INFO] Trainer: ngp | 2022-08-17_19-30-51 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:694:[INFO] Trainer: ngp | 2022-08-17_19-32-01 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:704:[INFO] Trainer: ngp | 2022-08-17_20-57-58 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:714:[INFO] Trainer: ngp | 2022-08-17_20-59-26 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:724:[INFO] Trainer: ngp | 2022-08-17_21-03-48 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:734:[INFO] Trainer: ngp | 2022-08-17_21-07-51 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:744:[INFO] Trainer: ngp | 2022-08-17_21-09-28 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:754:[INFO] Trainer: ngp | 2022-08-17_21-12-10 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:764:[INFO] Trainer: ngp | 2022-08-17_21-14-16 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:774:[INFO] Trainer: ngp | 2022-08-17_21-15-53 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:784:[INFO] Trainer: ngp | 2022-08-17_21-17-41 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:794:[INFO] Trainer: ngp | 2022-08-17_21-18-03 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:804:[INFO] Trainer: ngp | 2022-08-17_21-18-47 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:814:[INFO] Trainer: ngp | 2022-08-17_21-19-15 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:824:[INFO] Trainer: ngp | 2022-08-17_21-20-43 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:834:[INFO] Trainer: ngp | 2022-08-17_21-22-22 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:844:[INFO] Trainer: ngp | 2022-08-17_21-22-55 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:854:[INFO] Trainer: ngp | 2022-08-17_21-24-28 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:864:[INFO] Trainer: ngp | 2022-08-17_21-25-09 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:874:[INFO] Trainer: ngp | 2022-08-17_21-26-26 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:884:[INFO] Trainer: ngp | 2022-08-17_21-27-11 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:894:[INFO] Trainer: ngp | 2022-08-17_21-28-03 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:904:[INFO] Trainer: ngp | 2022-08-17_21-28-36 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:914:[INFO] Trainer: ngp | 2022-08-17_21-29-47 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:924:[INFO] Trainer: ngp | 2022-08-17_21-32-00 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:934:[INFO] Trainer: ngp | 2022-08-17_21-32-18 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:944:[INFO] Trainer: ngp | 2022-08-17_21-36-38 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:954:[INFO] Trainer: ngp | 2022-08-17_21-37-24 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:964:[INFO] Trainer: ngp | 2022-08-17_21-39-34 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:973:[INFO] Trainer: ngp | 2022-08-17_21-43-46 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:983:[INFO] Trainer: ngp | 2022-08-17_21-44-22 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:993:[INFO] Trainer: ngp | 2022-08-17_21-46-52 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1003:[INFO] Trainer: ngp | 2022-08-17_21-49-37 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1013:[INFO] Trainer: ngp | 2022-08-17_22-03-05 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1023:[INFO] Trainer: ngp | 2022-08-17_22-13-18 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1033:[INFO] Trainer: ngp | 2022-08-17_22-14-12 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1043:[INFO] Trainer: ngp | 2022-08-17_22-15-22 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1053:[INFO] Trainer: ngp | 2022-08-17_22-16-54 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1063:[INFO] Trainer: ngp | 2022-08-17_22-17-35 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1073:[INFO] Trainer: ngp | 2022-08-17_22-18-14 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1083:[INFO] Trainer: ngp | 2022-08-17_22-18-55 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1093:[INFO] Trainer: ngp | 2022-08-17_22-19-41 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1103:[INFO] Trainer: ngp | 2022-08-17_22-20-13 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1113:[INFO] Trainer: ngp | 2022-08-17_22-24-06 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1123:[INFO] Trainer: ngp | 2022-08-17_22-24-27 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1133:[INFO] Trainer: ngp | 2022-08-17_22-25-28 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1143:[INFO] Trainer: ngp | 2022-08-17_22-29-52 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1153:[INFO] Trainer: ngp | 2022-08-17_22-31-13 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1163:[INFO] Trainer: ngp | 2022-08-17_22-31-55 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1173:[INFO] Trainer: ngp | 2022-08-17_22-32-26 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1183:[INFO] Trainer: ngp | 2022-08-17_22-32-49 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1193:[INFO] Trainer: ngp | 2022-08-17_22-33-08 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1203:[INFO] Trainer: ngp | 2022-08-17_22-33-37 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1213:[INFO] Trainer: ngp | 2022-08-17_22-34-09 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1223:[INFO] Trainer: ngp | 2022-08-17_22-35-48 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1233:[INFO] Trainer: ngp | 2022-08-17_22-38-22 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1243:[INFO] Trainer: ngp | 2022-08-17_22-41-47 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1253:[INFO] Trainer: ngp | 2022-08-17_22-43-14 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1263:[INFO] Trainer: ngp | 2022-08-17_22-43-30 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1273:[INFO] Trainer: ngp | 2022-08-17_22-43-47 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1283:[INFO] Trainer: ngp | 2022-08-17_22-45-29 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1293:[INFO] Trainer: ngp | 2022-08-17_22-49-35 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1303:[INFO] Trainer: ngp | 2022-08-17_22-49-56 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1313:[INFO] Trainer: ngp | 2022-08-17_22-50-46 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1323:[INFO] Trainer: ngp | 2022-08-17_22-51-26 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1333:[INFO] Trainer: ngp | 2022-08-17_22-52-33 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1343:[INFO] Trainer: ngp | 2022-08-17_22-53-04 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1353:[INFO] Trainer: ngp | 2022-08-17_22-57-32 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1363:[INFO] Trainer: ngp | 2022-08-17_22-58-26 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1373:[INFO] Trainer: ngp | 2022-08-17_22-58-52 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1383:[INFO] Trainer: ngp | 2022-08-17_22-59-32 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1393:[INFO] Trainer: ngp | 2022-08-17_22-59-51 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1403:[INFO] Trainer: ngp | 2022-08-17_23-01-28 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1413:[INFO] Trainer: ngp | 2022-08-17_23-02-01 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1423:[INFO] Trainer: ngp | 2022-08-17_23-02-55 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1433:[INFO] Trainer: ngp | 2022-08-18_10-50-52 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1443:[INFO] Trainer: ngp | 2022-08-18_12-15-58 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1453:[INFO] Trainer: ngp | 2022-08-18_12-16-27 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1463:[INFO] Trainer: ngp | 2022-08-18_12-17-44 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1473:[INFO] Trainer: ngp | 2022-08-18_12-18-09 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1483:[INFO] Trainer: ngp | 2022-08-18_12-18-43 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1493:[INFO] Trainer: ngp | 2022-08-18_12-19-17 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1503:[INFO] Trainer: ngp | 2022-08-18_12-20-15 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1513:[INFO] Trainer: ngp | 2022-08-18_12-26-52 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1523:[INFO] Trainer: ngp | 2022-08-18_12-30-04 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1533:[INFO] Trainer: ngp | 2022-08-18_12-31-09 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1543:[INFO] Trainer: ngp | 2022-08-18_12-32-01 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1553:[INFO] Trainer: ngp | 2022-08-18_12-35-02 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1563:[INFO] Trainer: ngp | 2022-08-18_12-37-18 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1573:[INFO] Trainer: ngp | 2022-08-18_12-38-13 | cuda | fp32 | stone_nerf
map/stone_nerf/log_ngp.txt:1584:[INFO] Trainer: ngp | 2022-08-18_12-41-58 | cuda | fp32 | stone_nerf
